DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,INI,FEX_C,DPTO,ANO,MES,PERIODO,REGIS,P7430,P7440,P7450,P7452,P7454,P7456,P7458,P7460,P7470,P7472,P7472S1,P744,P1884,P1807,P6921
5108273,1,1,1,50,1,1,205.87027434,50,2020,01,202001,80,1,4,3,2,,,9,2,,2,,,,,2
5108277,1,3,1,50,1,1,248.46481631,50,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108279,1,2,1,50,1,1,293.31763912,50,2020,01,202001,80,1,2,3,2,,,9,2,,2,,,,,2
5108279,1,3,1,50,1,1,293.31763912,50,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108280,1,1,1,50,1,1,225.47545057,50,2020,01,202001,80,1,4,4,2,,,4,2,,2,,,,,2
5108281,1,2,1,50,1,1,272.92446002,50,2020,01,202001,80,1,4,3,2,,,9,2,,2,,,,,2
5108281,1,3,1,50,1,1,272.92446002,50,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108281,1,4,1,50,1,1,272.92446002,50,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108283,1,2,1,50,1,1,359.22015797,50,2020,01,202001,80,1,3,8,2,,,9,2,,2,,1,48,1000000,2
5108284,1,3,1,50,1,1,254.65001873,50,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108285,1,2,1,50,1,1,280.17288588,50,2020,01,202001,80,1,3,4,2,,,4,2,,2,,,,,2
5108290,1,1,1,50,1,1,247.22113266,50,2020,01,202001,80,1,4,4,2,,,4,2,,2,,,,,2
5108291,1,1,1,50,1,1,278.71453907,50,2020,01,202001,80,1,4,3,2,,,8,2,,2,,,,,2
5108295,1,2,1,50,1,1,427.88360894,50,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108295,1,3,1,50,1,1,427.88360894,50,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108305,1,2,1,50,1,1,270.95300609,50,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108321,1,2,1,50,1,1,237.48588442,50,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108327,1,2,1,50,1,1,221.49462309,50,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108328,1,2,1,50,1,1,277.02198503,50,2020,01,202001,80,1,1,8,2,,,12,2,,1,1000000,1,48,828000,2
5108332,1,1,1,50,1,1,290.68210673,50,2020,01,202001,80,1,3,4,2,,,4,2,,2,,,,,2
5108332,1,2,1,50,1,1,290.68210673,50,2020,01,202001,80,1,3,3,2,,,9,2,,2,,,,,2
5108333,1,2,1,50,1,1,210.97280907,50,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108336,1,4,1,50,1,1,269.61686295,50,2020,01,202001,80,1,2,4,2,,,4,2,,2,,,,,2
5108337,1,1,1,50,1,1,189.36400788,50,2020,01,202001,80,1,4,7,2,,,8,2,,2,,,,,2
5108337,1,4,1,50,1,1,189.36400788,50,2020,01,202001,80,1,4,4,2,,,8,2,,2,,,,,2
5108342,1,3,1,50,1,1,236.28106983,50,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108344,1,1,1,50,1,1,280.17288588,50,2020,01,202001,80,1,1,4,2,,,4,2,,2,,,,,2
5108345,1,1,1,50,1,1,126.9898374,50,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108346,1,2,1,50,1,1,258.18716483,50,2020,01,202001,80,1,1,3,2,,,9,2,,2,,,,,2
5108347,1,3,1,50,1,1,263.73856996,50,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108357,1,2,1,50,1,1,256.572341,50,2020,01,202001,80,1,4,4,2,,,8,2,,2,,,,,2
5108363,1,1,1,52,1,1,169.24918079,52,2020,01,202001,80,1,4,5,1,,3,1,3,,2,,,,,3
5108363,1,4,1,52,1,1,169.24918079,52,2020,01,202001,80,1,4,3,2,,,9,2,,2,,,,,2
5108365,1,1,1,52,1,1,158.51788646,52,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108367,1,2,1,52,1,1,186.27418038,52,2020,01,202001,80,1,4,1,2,,,4,2,,2,,,,,2
5108369,1,3,1,52,1,1,291.6722266,52,2020,01,202001,80,1,1,2,2,,,2,2,,2,,,,,2
5108370,1,3,1,52,1,1,105.15043413,52,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108371,1,4,1,52,1,1,125.4762416,52,2020,01,202001,80,1,1,8,2,,,9,2,,1,150000,1,40,150000,2
5108372,1,1,1,52,1,1,182.84143252,52,2020,01,202001,80,1,1,7,2,,,1,2,,1,1400000,1,40,850000,2
5108372,1,7,1,52,1,1,182.84143252,52,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108373,1,2,1,52,1,1,134.46981747,52,2020,01,202001,80,1,1,8,2,,,12,1,,1,98,2,,1500000,2
5108375,1,2,1,52,1,1,195.63834686,52,2020,01,202001,80,1,2,3,2,,,9,2,,1,60000,2,,300000,2
5108381,1,1,1,52,1,1,208.26629947,52,2020,01,202001,80,1,4,4,2,,,4,2,,2,,,,,2
5108382,1,1,1,52,1,1,175.14501527,52,2020,01,202001,80,1,4,3,2,,,9,2,,2,,,,,2
5108382,1,2,1,52,1,1,175.14501527,52,2020,01,202001,80,1,2,8,2,,,9,2,,2,,1,20,450000,2
5108384,1,1,1,52,1,1,129.65138345,52,2020,01,202001,80,1,4,4,2,,,8,2,,2,,,,,2
5108384,1,4,1,52,1,1,129.65138345,52,2020,01,202001,80,1,1,2,2,,,2,2,,1,500000,2,,828116,2
5108384,1,5,1,52,1,1,129.65138345,52,2020,01,202001,80,1,2,2,2,,,2,2,,2,,2,,500000,2
5108385,1,1,1,52,1,1,219.56801241,52,2020,01,202001,80,1,4,5,2,,,8,3,,2,,,,,3
5108385,1,2,1,52,1,1,219.56801241,52,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108389,1,4,1,52,1,1,149.92674898,52,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108391,1,1,1,52,1,1,148.25275933,52,2020,01,202001,80,1,4,5,2,,,10,3,,2,,,,,3
5108391,1,2,1,52,1,1,148.25275933,52,2020,01,202001,80,1,1,8,2,,,5,2,,1,40000,,,,2
5108391,1,5,1,52,1,1,148.25275933,52,2020,01,202001,80,2,,,,1,1,1,1,,1,934000,1,40,850000,2
5108391,1,6,1,52,1,1,148.25275933,52,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108392,1,2,1,52,1,1,183.31914999,52,2020,01,202001,80,1,2,4,2,,,4,3,,2,,,,,3
5108394,1,2,1,52,1,1,118.7653919,52,2020,01,202001,80,1,1,8,1,,1,2,2,,2,,1,40,500000,2
5108397,1,1,1,52,1,1,264.58514247,52,2020,01,202001,80,1,2,3,2,,,9,2,,2,,,,,2
5108398,1,2,1,52,1,1,203.18736663,52,2020,01,202001,80,1,4,3,2,,,9,2,,2,,,,,2
5108399,1,2,1,52,1,1,151.84486696,52,2020,01,202001,80,1,4,3,2,,,9,2,,2,,1,30,350000,2
5108400,1,3,1,52,1,1,211.00131909,52,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108401,1,2,1,52,1,1,238.97389173,52,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108402,1,2,1,52,1,1,278.84501194,52,2020,01,202001,80,1,1,8,2,,,12,1,2,1,1900000,1,48,1900000,1
5108405,1,3,1,52,1,1,121.37509366,52,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108405,1,4,1,52,1,1,121.37509366,52,2020,01,202001,80,1,2,2,2,,,2,2,,2,,,,,2
5108406,1,2,1,52,1,1,124.16269785,52,2020,01,202001,80,1,3,3,2,,,9,2,,2,,2,,400000,2
5108409,1,1,1,52,1,1,200.22921011,52,2020,01,202001,80,1,1,3,2,,,9,2,,2,,2,,300000,2
5108409,1,3,1,52,1,1,200.22921011,52,2020,01,202001,80,1,4,7,2,,,4,2,,2,,,,,2
5108410,1,2,1,52,1,1,169.02736414,52,2020,01,202001,80,1,2,4,2,,,4,2,,2,,,,,2
5108410,1,3,1,52,1,1,169.02736414,52,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108417,1,2,1,52,1,1,219.71108223,52,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108418,1,1,1,52,1,1,242.01706683,52,2020,01,202001,80,1,4,2,2,,,2,2,,2,,,,,2
5108421,1,2,1,52,1,1,190.10950897,52,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108422,1,2,1,52,1,1,222.52616894,52,2020,01,202001,80,1,4,3,2,,,9,2,,2,,,,,2
5108423,1,1,1,52,1,1,168.23791094,52,2020,01,202001,80,1,4,4,2,,,4,3,,2,,,,,3
5108423,1,2,1,52,1,1,168.23791094,52,2020,01,202001,80,1,4,3,2,,,4,2,,2,,,,,2
5108423,1,3,1,52,1,1,168.23791094,52,2020,01,202001,80,1,4,3,2,,,9,2,,2,,2,,900000,2
5108423,1,4,1,52,1,1,168.23791094,52,2020,01,202001,80,1,4,4,2,,,4,2,4,2,,,,,1
5108424,1,1,1,52,1,1,240.45982254,52,2020,01,202001,80,1,1,8,1,,1,9,1,1,1,4500000,2,,2000000,1
5108424,1,2,1,52,1,1,240.45982254,52,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108425,1,2,1,52,1,1,146.47433874,52,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108425,1,3,1,52,1,1,146.47433874,52,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108436,1,3,1,52,1,1,197.08476574,52,2020,01,202001,80,1,1,8,2,,,1,2,,2,,,,1000000,2
5108441,1,2,1,52,1,1,184.50116179,52,2020,01,202001,80,1,1,5,2,,,11,3,,2,,,,,3
5108443,1,1,1,52,1,1,232.1684825,52,2020,01,202001,80,1,4,4,2,,,8,2,,2,,,,,2
5108447,1,1,1,54,1,1,377.62542712,54,2020,01,202001,80,1,4,3,2,,,9,2,,2,,,,,2
5108447,1,5,1,54,1,1,377.62542712,54,2020,01,202001,80,1,4,4,2,,,8,2,,2,,,,,2
5108449,1,2,1,54,1,1,621.58536437,54,2020,01,202001,80,1,1,8,2,,,1,2,,1,160000,2,,600000,2
5108449,1,3,1,54,1,1,621.58536437,54,2020,01,202001,80,1,1,7,2,,,1,2,,1,950000,1,48,800000,2
5108449,1,4,1,54,1,1,621.58536437,54,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108449,1,5,1,54,1,1,621.58536437,54,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108450,1,2,1,54,1,1,440.15150851,54,2020,01,202001,80,1,4,6,2,,,1,2,,2,,1,24,200000,2
5108453,1,1,1,54,1,1,333.23485232,54,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108453,1,2,1,54,1,1,333.23485232,54,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108454,1,1,1,54,1,1,419.27544206,54,2020,01,202001,80,1,1,7,2,,,9,2,,2,,,,,2
5108456,1,2,1,54,1,1,344.77537836,54,2020,01,202001,80,1,4,3,2,,,9,2,,2,,,,,2
5108456,1,5,1,54,1,1,344.77537836,54,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108459,1,5,1,54,1,1,422.4854115,54,2020,01,202001,80,1,4,4,2,,,4,2,,2,,,,,2
5108459,1,6,1,54,1,1,422.4854115,54,2020,01,202001,80,1,1,9,2,,,2,2,,2,,1,48,200000,2
5108460,1,2,1,54,1,1,394.23984661,54,2020,01,202001,80,1,4,6,2,,,9,2,,2,,,,,2
5108460,1,5,1,54,1,1,394.23984661,54,2020,01,202001,80,1,1,2,2,,,11,2,,2,,2,,600000,2
5108461,1,1,1,54,1,1,393.81708086,54,2020,01,202001,80,1,1,8,2,,,1,1,2,1,1200000,1,48,1000000,1
5108461,1,2,1,54,1,1,393.81708086,54,2020,01,202001,80,1,1,8,2,,,1,2,,1,1520000,1,48,1200000,2
5108461,1,4,1,54,1,1,393.81708086,54,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108462,1,2,1,54,1,1,443.29009819,54,2020,01,202001,80,1,2,7,2,,,9,2,,2,,,,,2
5108462,1,5,1,54,1,1,443.29009819,54,2020,01,202001,80,1,4,4,2,,,4,2,,2,,,,,2
5108466,1,1,1,54,1,1,243.0215442,54,2020,01,202001,80,1,2,4,2,,,1,2,,2,,1,48,1000000,2
5108468,1,2,1,54,1,1,167.28930074,54,2020,01,202001,80,1,4,7,2,,,8,2,,2,,,,,2
5108470,1,1,1,54,1,1,420.87711354,54,2020,01,202001,80,1,4,8,2,,,9,2,,2,,,,,2
5108471,1,2,1,54,1,1,438.13211199,54,2020,01,202001,80,1,4,3,2,,,9,2,,2,,,,,2
5108471,1,4,1,54,1,1,438.13211199,54,2020,01,202001,80,1,1,8,2,,,2,2,,2,,,,,2
5108474,1,2,1,54,1,1,554.03492448,54,2020,01,202001,80,1,3,6,2,,,9,2,,2,,,,,2
5108475,1,2,1,54,1,1,416.61306647,54,2020,01,202001,80,1,2,8,2,,,9,2,,2,,,,,2
5108475,1,3,1,54,1,1,416.61306647,54,2020,01,202001,80,1,1,8,2,,,2,2,,2,,,,,2
5108479,1,1,1,54,1,1,283.82168181,54,2020,01,202001,80,1,4,3,2,,,9,2,,2,,,,,2
5108479,1,2,1,54,1,1,283.82168181,54,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108479,1,3,1,54,1,1,283.82168181,54,2020,01,202001,80,1,4,4,2,,,4,2,,2,,,,,2
5108481,1,3,1,54,1,1,471.32241201,54,2020,01,202001,80,1,3,2,2,,,2,2,,2,,,,,2
5108484,1,1,1,54,1,1,535.04901201,54,2020,01,202001,80,1,1,8,2,,,1,2,,2,,1,60,828000,2
5108484,1,3,1,54,1,1,535.04901201,54,2020,01,202001,80,1,1,8,2,,,2,2,,2,,,,,2
5108487,1,3,1,54,1,1,375.94821197,54,2020,01,202001,80,1,4,4,2,,,8,2,,2,,,,,2
5108489,1,1,1,54,1,1,298.49729017,54,2020,01,202001,80,1,4,4,2,,,4,2,,2,,,,,2
5108489,1,2,1,54,1,1,298.49729017,54,2020,01,202001,80,1,4,4,2,,,4,2,,2,,,,,2
5108492,1,1,1,54,1,1,541.52018718,54,2020,01,202001,80,1,1,8,2,,,1,2,,1,800000,1,48,980000,2
5108493,1,2,1,54,1,1,488.10991954,54,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108494,1,2,1,54,1,1,443.07684712,54,2020,01,202001,80,1,4,8,2,,,9,2,,2,,,,,2
5108495,1,2,1,54,1,1,467.83203813,54,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108496,1,1,1,54,1,1,466.41274529,54,2020,01,202001,80,1,1,4,2,,,4,2,,2,,,,,2
5108497,1,2,1,54,1,1,486.33011933,54,2020,01,202001,80,1,2,3,2,,,9,2,,2,,2,,500000,2
5108499,1,1,1,54,1,1,419.53336438,54,2020,01,202001,80,1,4,4,2,,,8,2,,2,,,,,2
5108499,1,2,1,54,1,1,419.53336438,54,2020,01,202001,80,1,1,8,2,,,1,2,,1,1500000,1,66,900000,2
5108503,1,4,1,54,1,1,739.74834728,54,2020,01,202001,80,1,1,8,2,,,2,2,,2,,,,,2
5108504,1,2,1,54,1,1,551.69499876,54,2020,01,202001,80,1,3,3,2,,,9,2,,2,,2,,600000,2
5108505,1,2,1,54,1,1,469.55133496,54,2020,01,202001,80,2,,,,1,4,9,2,,2,,,,,2
5108505,1,3,1,54,1,1,469.55133496,54,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108506,1,1,1,54,1,1,509.74501608,54,2020,01,202001,80,1,1,8,2,,,1,2,,2,,,,,2
5108509,1,3,1,54,1,1,500.6046131,54,2020,01,202001,80,1,1,8,2,,,8,2,,2,,,,,2
5108510,1,5,1,54,1,1,571.55234797,54,2020,01,202001,80,1,1,6,2,,,1,2,,2,,1,60,500000,2
5108511,1,3,1,54,1,1,532.05733433,54,2020,01,202001,80,2,,,,1,1,12,2,,2,,,,980000,2
5108511,1,4,1,54,1,1,532.05733433,54,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108513,1,3,1,54,1,1,357.96386727,54,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108513,1,5,1,54,1,1,357.96386727,54,2020,01,202001,80,1,4,6,2,,,8,2,,2,,,,,2
5108513,1,6,1,54,1,1,357.96386727,54,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108514,1,1,1,54,1,1,423.44146332,54,2020,01,202001,80,1,4,4,2,,,4,2,,2,,,,,2
5108515,1,2,1,54,1,1,444.60456071,54,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108518,1,2,1,54,1,1,584.49146915,54,2020,01,202001,80,1,1,4,2,,,4,2,,2,,2,,828116,2
5108519,1,2,1,54,1,1,279.10047287,54,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108520,1,1,1,54,1,1,466.41274529,54,2020,01,202001,80,1,1,8,2,,,12,2,,1,828116,1,48,828116,2
5108524,1,1,1,54,1,1,420.87711354,54,2020,01,202001,80,1,4,4,2,,,4,2,,2,,1,48,800000,2
5108525,1,1,1,54,1,1,463.42106761,54,2020,01,202001,80,1,4,3,2,,,9,2,,2,,,,,2
5108528,1,3,1,54,1,1,532.48466222,54,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108528,1,4,1,54,1,1,532.48466222,54,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108536,1,3,1,54,1,1,469.72074053,54,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108537,1,2,1,54,1,1,551.26767087,54,2020,01,202001,80,1,3,3,2,,,9,2,,2,,2,,560000,2
5108539,1,2,1,54,1,1,508.90540059,54,2020,01,202001,80,1,3,3,2,,,9,2,,2,,,,,2
5108539,1,3,1,54,1,1,508.90540059,54,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108539,1,4,1,54,1,1,508.90540059,54,2020,01,202001,80,1,1,8,2,,,2,2,,2,,,,,2
5108540,1,1,1,54,1,1,206.27326129,54,2020,01,202001,80,1,4,5,2,,,10,3,,2,,,,,3
5108540,1,3,1,54,1,1,206.27326129,54,2020,01,202001,80,1,4,5,2,,,10,3,,2,,,,,3
5108545,1,2,1,63,1,1,210.32038895,63,2020,01,202001,80,1,1,8,2,,,1,1,,1,1000000,1,72,600000,2
5108545,1,3,1,63,1,1,210.32038895,63,2020,01,202001,80,2,,,,1,1,11,2,,2,,,,,2
5108545,1,5,1,63,1,1,210.32038895,63,2020,01,202001,80,1,4,3,2,,,1,2,,2,,,,,2
5108547,1,1,1,63,1,1,180.3353441,63,2020,01,202001,80,1,4,4,2,,,4,2,,2,,,,,2
5108547,1,2,1,63,1,1,180.3353441,63,2020,01,202001,80,1,4,3,2,,,4,2,,2,,2,,600000,2
5108547,1,3,1,63,1,1,180.3353441,63,2020,01,202001,80,1,3,4,1,,1,1,2,,2,,,,900000,2
5108562,1,2,1,63,1,1,221.08513752,63,2020,01,202001,80,1,4,4,2,,,4,2,,2,,,,,2
5108564,1,2,1,63,1,1,196.03404756,63,2020,01,202001,80,1,4,3,2,,,9,2,,2,,,,,2
5108568,1,1,1,63,1,1,188.8285858,63,2020,01,202001,80,1,4,5,2,,,11,3,,2,,,,,3
5108568,1,2,1,63,1,1,188.8285858,63,2020,01,202001,80,1,1,8,2,,,11,2,,1,125000,,,,2
5108568,1,3,1,63,1,1,188.8285858,63,2020,01,202001,80,1,2,2,2,,,2,2,,2,,2,,900000,2
5108572,1,1,1,63,1,1,190.50308592,63,2020,01,202001,80,1,4,3,2,,,9,2,,2,,1,24,900000,2
5108572,1,2,1,63,1,1,190.50308592,63,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108572,1,7,1,63,1,1,190.50308592,63,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108574,1,2,1,63,1,1,152.51945328,63,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108581,1,2,1,63,1,1,201.81476918,63,2020,01,202001,80,1,1,3,1,,1,9,2,,2,,1,48,950000,2
5108583,1,3,1,63,1,1,74.919983065,63,2020,01,202001,80,1,4,4,2,,,4,2,,2,,,,,2
5108583,1,4,1,63,1,1,74.919983065,63,2020,01,202001,80,1,4,4,2,,,4,2,,2,,,,,2
5108586,1,4,1,63,1,1,293.9377229,63,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108593,1,4,1,63,1,1,74.919983065,63,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108606,1,3,1,66,1,1,264.95855538,66,2020,01,202001,80,1,4,3,2,,,8,2,,2,,,,,2
5108617,1,1,1,66,1,1,332.33923961,66,2020,01,202001,80,1,4,5,2,,,10,3,,2,,,,,3
5108617,1,3,1,66,1,1,332.33923961,66,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108618,1,3,1,66,1,1,326.7273087,66,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108620,1,3,1,66,1,1,411.17851223,66,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108622,1,2,1,66,1,1,267.66504805,66,2020,01,202001,80,1,4,3,2,,,8,2,,2,,,,,2
5108626,1,2,1,66,1,1,383.61144673,66,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108627,1,2,1,66,1,1,379.13498766,66,2020,01,202001,80,1,3,3,2,,,9,2,,2,,,,,2
5108633,1,2,1,66,1,1,375.30906906,66,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108634,1,2,1,66,1,1,362.63959891,66,2020,01,202001,80,1,1,8,2,,,9,2,,2,,2,,828116,2
5108638,1,1,1,66,1,1,281.46999004,66,2020,01,202001,80,1,3,7,2,,,4,2,,2,,,,,2
5108638,1,2,1,66,1,1,281.46999004,66,2020,01,202001,80,1,4,3,2,,,9,2,,2,,,,,2
5108640,1,2,1,66,1,1,299.72883119,66,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108641,1,2,1,66,1,1,267.43301814,66,2020,01,202001,80,1,4,1,2,,,8,2,,2,,2,,828000,2
5108645,1,2,1,66,1,1,354.33722123,66,2020,01,202001,80,1,2,3,2,,,9,2,,2,,1,60,900000,2
5108648,1,1,1,66,1,1,302.66735377,66,2020,01,202001,80,1,4,5,2,,,10,3,,2,,,,,3
5108655,1,1,1,66,1,1,283.9444528,66,2020,01,202001,80,1,4,5,2,,,10,3,,2,,,,,3
5108655,1,2,1,66,1,1,283.9444528,66,2020,01,202001,80,1,4,3,2,,,9,2,,2,,,,,2
5108656,1,1,1,66,1,1,292.56843936,66,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108656,1,2,1,66,1,1,292.56843936,66,2020,01,202001,80,1,4,8,2,,,11,2,,2,,,,,2
5108656,1,3,1,66,1,1,292.56843936,66,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108657,1,1,1,66,1,1,267.66504805,66,2020,01,202001,80,1,4,3,2,,,9,2,,2,,,,,2
5108661,1,1,1,68,1,1,808.29219234,68,2020,01,202001,80,1,4,5,2,,,10,3,,2,,,,,3
5108661,1,2,1,68,1,1,808.29219234,68,2020,01,202001,80,1,4,7,2,,,10,3,,2,,,,,3
5108662,1,5,1,68,1,1,267.87799909,68,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108663,1,1,1,68,1,1,981.87676976,68,2020,01,202001,80,1,3,4,1,,2,4,2,,2,,,,,2
5108663,1,2,1,68,1,1,981.87676976,68,2020,01,202001,80,1,4,4,2,,,4,2,,2,,,,,2
5108663,1,5,1,68,1,1,981.87676976,68,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108666,1,3,1,68,1,1,1106.7052569,68,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108667,1,5,1,68,1,1,637.60524911,68,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108668,1,1,1,68,1,1,587.33583539,68,2020,01,202001,80,1,4,4,2,,,8,2,,2,,,,,2
5108668,1,2,1,68,1,1,587.33583539,68,2020,01,202001,80,1,2,4,2,,,8,3,,2,,,,,3
5108670,1,1,1,68,1,1,1001.0957765,68,2020,01,202001,80,1,2,8,2,,,4,2,,2,,2,,400000,2
5108670,1,2,1,68,1,1,1001.0957765,68,2020,01,202001,80,1,1,8,2,,,8,2,,2,,1,50,500000,2
5108670,1,3,1,68,1,1,1001.0957765,68,2020,01,202001,80,1,2,3,2,,,9,2,,2,,2,,500000,2
5108671,1,1,1,68,1,1,1335.3289155,68,2020,01,202001,80,1,4,4,2,,,8,2,,2,,,,,2
5108672,1,1,1,68,1,1,1341.3369708,68,2020,01,202001,80,1,4,3,2,,,9,2,,2,,,,,2
5108672,1,4,1,68,1,1,1341.3369708,68,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108673,1,2,1,68,1,1,1071.5119964,68,2020,01,202001,80,1,4,3,2,,,9,2,,2,,,,,2
5108673,1,3,1,68,1,1,1071.5119964,68,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108673,1,4,1,68,1,1,1071.5119964,68,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108675,1,2,1,68,1,1,1071.5119964,68,2020,01,202001,80,1,4,6,2,,,9,2,,2,,,,,2
5108675,1,3,1,68,1,1,1071.5119964,68,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108675,1,4,1,68,1,1,1071.5119964,68,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108682,1,1,1,68,1,1,546.90904835,68,2020,01,202001,80,1,4,3,2,,,8,2,,2,,,,,2
5108685,1,1,1,68,1,1,945.31221956,68,2020,01,202001,80,2,,,,1,1,7,2,,2,,2,,900000,2
5108687,1,4,1,68,1,1,649.9399863,68,2020,01,202001,80,1,2,8,2,,,2,2,,2,,,,,2
5108687,1,5,1,68,1,1,649.9399863,68,2020,01,202001,80,2,,,,1,2,2,2,,2,,,,,2
5108688,1,1,1,68,1,1,808.29219234,68,2020,01,202001,80,1,4,5,2,,,4,3,,2,,,,,3
5108688,1,2,1,68,1,1,808.29219234,68,2020,01,202001,80,1,4,4,2,,,9,2,,2,,,,,2
5108690,1,1,1,68,1,1,517.04179389,68,2020,01,202001,80,1,1,8,2,,,9,1,,1,1600000,1,48,980000,2
5108692,1,2,1,68,1,1,701.27890738,68,2020,01,202001,80,1,1,8,2,,,9,2,,2,,,,,2
5108693,1,4,1,68,1,1,535.28071072,68,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108694,1,5,1,68,1,1,524.71962399,68,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108695,1,1,1,68,1,1,808.29219234,68,2020,01,202001,80,1,4,4,2,,,4,3,,2,,,,,3
5108695,1,2,1,68,1,1,808.29219234,68,2020,01,202001,80,1,4,3,2,,,9,3,,2,,,,,3
5108696,1,1,1,68,1,1,771.88470198,68,2020,01,202001,80,1,4,3,2,,,8,2,,2,,,,,2
5108697,1,1,1,68,1,1,808.29219234,68,2020,01,202001,80,1,2,8,2,,,8,2,,2,,,,,2
5108697,1,2,1,68,1,1,808.29219234,68,2020,01,202001,80,1,4,3,2,,,9,2,,2,,,,,2
5108698,1,7,1,68,1,1,267.87799909,68,2020,01,202001,80,1,4,3,2,,,9,2,,2,,,,,2
5108699,1,2,1,68,1,1,999.55625804,68,2020,01,202001,80,1,3,3,2,,,9,2,,2,,,,,2
5108699,1,3,1,68,1,1,999.55625804,68,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5108701,1,3,1,68,1,1,588.78724039,68,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
