DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,RAMA4D_D_R4,RAMA2D_D_R4,DSI,FEX_C,DPTO,ANO,MES,PERIODO,REGIS,P7250,P7260,P7280,P7310,P7320,P7350,P7360,P9460,P7390,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7422,P7422S1,P1806,P1519,P1883,OFICIO1,OFICIO2,DSCY
5105382,1,3,1,05,1,7410,74,1,1164.5649217,05,2020,01,202001,70,24,48,1,2,104,1,9,2,2,,,1,,,,,,2,,1300000,2,,16,16,2
5105389,1,2,1,05,1,8220,82,1,1445.528866,05,2020,01,202001,70,4,48,1,2,4,1,9,2,1,,,,,,,,1,2,,800000,2,,59,38,1
5105400,1,3,1,05,1,4112,41,1,886.23582525,05,2020,01,202001,70,24,48,1,2,24,1,9,2,2,,,,,,,,1,2,,828116,2,,15,15,2
5105402,1,3,1,05,1,4724,47,1,946.91462122,05,2020,01,202001,70,4,48,1,2,4,1,4,2,2,,,,,,,,1,1,600000,1000000,2,,53,45,1
5105419,1,3,1,05,1,.,,1,826.68100808,05,2020,01,202001,70,36,48,1,1,,,,,,,,,,,,,,,,900000,,,39,,2
5105423,1,2,1,05,1,4792,47,1,929.69447901,05,2020,01,202001,70,52,48,1,2,16,4,1,2,1,,,,,,,,1,2,,828116,2,,45,45,2
5105426,1,3,1,05,1,4771,47,1,868.98916433,05,2020,01,202001,70,24,48,1,2,104,1,6,2,1,,,,,,,,1,2,,870000,2,,39,45,2
5105426,1,6,1,05,1,8230,82,1,868.98916433,05,2020,01,202001,70,8,48,1,2,52,1,6,2,1,,,,,,,,1,2,,828000,2,,97,39,1
5105432,1,3,1,05,1,1040,10,1,633.366087,05,2020,01,202001,70,3,65,1,2,4,1,9,2,9,1,,,,,,,,1,250000,828000,1,2,98,98,1
5105434,1,2,1,05,1,1410,14,1,1316.6565428,05,2020,01,202001,70,12,48,1,2,12,1,9,2,2,,,,,,,,1,2,,1100000,2,,38,33,1
5105444,1,1,1,08,1,6910,69,1,702.89013795,08,2020,01,202001,70,4,48,1,2,24,1,3,2,1,,,,,,,,1,2,,900000,2,,33,32,1
5105445,1,2,1,08,1,8551,85,1,980.8037306,08,2020,01,202001,70,4,48,1,2,4,1,9,2,7,,,,,,,,1,1,2000000,1500000,2,,13,13,1
5105460,1,1,1,13,1,4711,47,1,692.65496183,13,2020,01,202001,70,16,48,1,2,192,1,9,2,1,,,,,,,,1,2,,800000,2,,33,33,2
5105474,1,5,1,15,1,4921,49,1,171.80027442,15,2020,01,202001,70,2,48,1,2,2,1,9,2,3,,,,,,,,1,1,500000,828116,2,,98,98,1
5105478,1,2,1,15,1,4771,47,1,55.308268229,15,2020,01,202001,70,3,48,1,2,3,1,3,2,1,,,,,,,,1,1,500000,877800,2,,45,45,1
5105482,1,2,1,15,1,8544,85,1,107.70656484,15,2020,01,202001,70,50,40,1,2,50,4,9,2,4,,1,,,,,,,2,,2000000,1,1,19,19,2
5105484,1,3,1,15,1,9319,93,1,169.44707897,15,2020,01,202001,70,6,40,2,2,9,1,6,2,1,,,1,,,,,,2,,1600000,2,,18,18,1
5105489,1,2,1,15,1,6910,69,1,122.66664881,15,2020,01,202001,70,42,48,1,2,52,1,2,2,1,,,,,,,,1,2,,877800,2,,45,32,2
5105490,1,2,1,15,1,8412,84,1,92.568020855,15,2020,01,202001,70,16,48,2,2,16,4,9,2,6,,,,,,,,1,2,,1800000,2,,21,39,2
5105491,1,2,1,15,1,8691,86,1,122.66664881,15,2020,01,202001,70,52,40,1,2,52,5,2,2,1,,,,,,,,1,2,,1500000,2,,05,05,2
5105492,1,3,1,15,1,8530,85,1,153.23545752,15,2020,01,202001,70,4,48,2,2,4,1,9,2,8,,,,,,,,1,1,1000000,2000000,2,,13,13,1
5105495,1,1,1,15,1,6201,62,1,112.45451864,15,2020,01,202001,70,28,48,1,2,72,4,7,2,2,,,1,,,,,,2,,1400000,2,,16,16,2
5105502,1,1,1,15,1,8412,84,1,138.46510156,15,2020,01,202001,70,1,40,2,2,1,4,9,2,1,,1,1,,,,,,1,3123000,2500000,1,2,12,12,1
5105502,1,5,1,15,1,8544,85,1,138.46510156,15,2020,01,202001,70,1,48,2,2,1,2,9,2,1,1,,,,,,,,1,2500000,5000000,1,1,19,13,1
5105518,1,1,1,15,1,8544,85,1,109.60144264,15,2020,01,202001,70,8,40,1,2,25,1,8,2,3,,,,,,,,1,2,,4000000,2,,12,13,1
5105519,1,1,1,15,1,5630,56,1,128.18704099,15,2020,01,202001,70,12,70,4,2,12,4,2,2,3,,,,,,,,1,2,,2000000,2,,51,50,1
5105554,1,1,1,15,1,8412,84,1,128.18704099,15,2020,01,202001,70,12,40,2,2,4,4,9,2,3,,,1,,,,,,1,1200000,3300000,2,,02,02,1
5105557,1,2,1,17,1,8512,85,1,208.47941382,17,2020,01,202001,70,9,40,1,2,4,2,6,2,3,,,,,,,,1,2,,1500000,1,1,13,13,1
5105559,1,3,1,17,1,8220,82,1,218.69572851,17,2020,01,202001,70,8,48,1,2,48,1,7,2,1,,,,,,,,1,2,,828116,2,,53,38,1
5105567,1,1,1,17,1,2593,25,1,251.95187149,17,2020,01,202001,70,2,48,1,2,2,1,9,2,1,1,,,,,,,,1,3000000,3500000,1,1,30,70,1
5105569,1,2,1,17,1,.,,1,199.51815142,17,2020,01,202001,70,1,48,1,1,,,,,,,,,,,,,,,,828116,,,97,,1
5105569,1,4,1,17,1,.,,1,199.51815142,17,2020,01,202001,70,1,48,1,1,,,,,,,,,,,,,,,,828116,,,45,,1
5105589,1,1,1,17,1,5611,56,1,166.51487492,17,2020,01,202001,70,8,48,1,2,8,1,4,2,2,,,,,,,,1,2,,500000,2,,53,53,1
5105591,1,2,1,17,1,5611,56,1,202.46317115,17,2020,01,202001,70,24,60,1,2,52,1,5,2,2,,,,,,,,1,2,,700000,2,,53,53,2
5105598,1,3,1,17,1,1410,14,1,203.63169565,17,2020,01,202001,70,2,48,1,2,3,1,9,2,8,,,,,,,,1,1,490000,828116,2,,95,95,1
5105605,1,1,1,17,1,2816,28,1,217.06491091,17,2020,01,202001,70,48,48,1,2,48,1,5,2,1,,,,,,,,1,2,,1800000,2,,02,02,2
5105611,1,4,1,17,1,7490,74,1,243.64250152,17,2020,01,202001,70,2,48,4,2,4,4,7,2,1,1,,,,,,,,1,3000000,2000000,1,1,05,05,1
5105614,1,4,1,17,1,4721,47,1,162.90011511,17,2020,01,202001,70,32,48,1,2,32,4,1,2,1,,,,,,,,1,2,,828116,2,,53,41,2
5105621,1,3,1,17,1,3290,32,1,160.60474548,17,2020,01,202001,70,1,48,1,2,2,1,6,2,4,,,,,,,,1,1,828116,828116,2,,45,97,1
5105627,1,1,1,18,1,4111,41,1,98.980930419,18,2020,01,202001,70,4,54,1,2,4,1,2,2,1,,,,,,1,,,2,,600000,2,,95,59,1
5105628,1,2,1,18,1,4921,49,1,113.20973698,18,2020,01,202001,70,24,48,1,2,24,4,1,2,1,,,,,,,,1,2,,890000,2,,37,98,2
5105628,1,3,1,18,1,4631,46,1,113.20973698,18,2020,01,202001,70,3,48,1,2,3,1,4,2,1,,,,,,,,1,2,,850000,2,,97,97,1
5105632,1,2,1,19,1,8413,84,1,92.877335074,19,2020,01,202001,70,2,40,1,2,3,1,9,2,7,,,,,,1,,,2,,1500000,2,,08,08,1
5105633,1,3,1,19,1,8544,85,1,87.860725227,19,2020,01,202001,70,4,45,1,2,4,1,9,2,1,,,,,,,,1,2,,1800000,2,,13,13,1
5105634,1,3,1,19,1,8890,88,1,126.27216588,19,2020,01,202001,70,16,45,1,2,50,1,6,2,1,,,,,,,,1,2,,1500000,2,,11,32,2
5105636,1,2,1,19,1,4741,47,1,123.14921683,19,2020,01,202001,70,24,48,1,2,24,1,4,2,7,,,,,,,,1,2,,1000000,2,,15,15,2
5105641,1,1,1,19,1,6412,64,1,145.34035015,19,2020,01,202001,70,24,40,1,2,48,1,9,2,1,,,,,,,,1,2,,800000,2,,33,33,2
5105642,1,3,1,19,1,4711,47,1,114.62278247,19,2020,01,202001,70,48,48,1,2,48,1,9,2,1,,,,,,,,1,2,,900000,2,,45,97,2
5105647,1,2,1,19,1,.,,1,151.56097407,19,2020,01,202001,70,8,40,1,1,,,,,,,,,,,,,,,,1200000,,,03,,1
5105652,1,3,1,19,1,8530,85,1,95.909770362,19,2020,01,202001,70,24,48,1,2,24,1,4,2,1,,,,,,,,1,2,,98,2,,13,13,2
5105652,1,5,1,19,1,.,,1,95.909770362,19,2020,01,202001,70,20,48,1,1,,,,,,,,,,,,,,,,98,,,33,,2
5105656,1,3,1,19,1,.,,1,147.11919282,19,2020,01,202001,70,4,48,1,1,,,,,,,,,,,,,,,,1000000,,,13,,1
5105659,1,2,1,19,1,5611,56,1,114.51271267,19,2020,01,202001,70,16,45,1,2,16,1,3,2,1,,,1,,,,,,2,,828116,2,,53,53,2
5105660,1,1,1,19,1,8530,85,1,167.85172499,19,2020,01,202001,70,24,48,1,2,24,1,6,2,4,,,,,,,,1,2,,900000,2,,13,13,2
5105674,1,3,1,19,1,.,,1,111.851463,19,2020,01,202001,70,48,40,4,1,,,,,,,,,,,,,,,,800000,,,03,,2
5105675,1,3,1,19,1,.,,1,114.62278247,19,2020,01,202001,70,52,40,1,1,,,,,,,,,,,,,,,,800000,,,45,,2
5105679,1,2,1,19,1,.,,1,144.78459443,19,2020,01,202001,70,4,45,1,1,,,,,,,,,,,,,,,,2000000,,,02,,1
5105681,1,1,1,19,1,4111,41,1,168.76416431,19,2020,01,202001,70,3,50,1,2,3,1,6,2,2,,,,,,1,,,2,,1000000,2,,95,95,1
5105688,1,1,1,19,1,5611,56,1,172.84472209,19,2020,01,202001,70,54,30,1,2,52,1,3,2,1,,,,,,,,1,2,,600000,2,,53,53,2
5105690,1,2,1,19,1,4653,46,1,98.317262464,19,2020,01,202001,70,2,40,1,2,3,1,3,2,1,,,,,,,,1,1,450000,872000,2,,33,03,1
5105696,1,2,1,20,1,4111,41,1,147.21047623,20,2020,01,202001,70,12,48,1,2,14,4,4,2,1,,,,,,,,1,2,,800000,2,,95,95,1
5105696,1,3,1,20,1,6910,69,1,147.21047623,20,2020,01,202001,70,8,48,1,2,12,1,5,2,1,,,,,,,,1,2,,1500000,2,,12,39,1
5105700,1,1,1,20,1,0141,01,1,226.12906547,20,2020,01,202001,70,32,70,8,2,32,8,4,2,1,,,,,,,,1,2,,1000000,2,,60,60,2
5105708,1,2,1,20,1,4792,47,1,168.14366627,20,2020,01,202001,70,12,48,1,2,12,4,1,2,1,,,,,,,,1,2,,828200,2,,32,45,1
5105713,1,2,1,20,1,1101,11,1,206.82296933,20,2020,01,202001,70,1,48,1,2,2,1,9,2,1,,,,,,,,1,2,,860000,2,,97,97,1
5105731,1,1,1,20,1,5611,56,1,228.50266309,20,2020,01,202001,70,2,48,1,2,2,1,3,2,8,,,,,,,,1,1,300000,500000,2,,77,53,1
5105731,1,4,1,20,1,5619,56,1,228.50266309,20,2020,01,202001,70,12,48,1,2,12,4,2,2,8,,,,,,,,1,2,,500000,2,,53,53,1
5105735,2,7,2,23,1,8430,84,1,92.789163722,23,2020,01,202001,70,4,48,1,2,4,1,9,2,1,,,,,,,,1,2,,828116,2,,59,59,1
5105738,1,2,1,23,1,4111,41,1,92.789163722,23,2020,01,202001,70,2,48,5,2,3,5,2,2,1,,,,,,,,1,1,800000,1200000,2,,95,95,1
5105742,1,4,1,23,1,4921,49,1,217.61259634,23,2020,01,202001,70,1,50,4,2,1,4,1,2,1,,,,,,,,1,1,400000,400000,2,,98,98,1
5105745,1,3,1,23,1,8610,86,1,92.789163722,23,2020,01,202001,70,14,48,1,2,14,1,9,2,1,,,,,,,,1,2,,828116,2,,59,59,2
5105748,1,2,1,23,1,4111,41,1,92.789163722,23,2020,01,202001,70,20,48,4,2,20,4,1,2,1,,,,,,,,1,2,,828116,2,,95,95,2
5105753,1,3,1,23,1,.,,1,371.15665489,23,2020,01,202001,70,8,48,1,1,,,,,,,,,,,,,,,,828116,,,45,,1
5105757,1,2,1,23,1,8523,85,1,301.80876623,23,2020,01,202001,70,28,48,1,2,28,2,9,2,2,,,,,,,,1,2,,1500000,2,,33,33,2
5105763,1,4,1,27,1,.,,1,64.222679126,27,2020,01,202001,70,36,40,1,1,,,,,,,,,,,,,,,,1200000,,,11,,2
5105766,1,1,1,27,1,5611,56,1,59.651642893,27,2020,01,202001,70,8,40,1,2,8,1,3,2,1,,,,,,,,1,2,,500000,2,,53,53,1
5105766,1,2,1,27,1,4773,47,1,59.651642893,27,2020,01,202001,70,106,40,1,2,106,1,3,2,1,,,,,,,,1,2,,877803,2,,45,45,2
5105770,1,1,1,27,1,9700,97,1,91.050015397,27,2020,01,202001,70,53,24,3,2,191,3,1,2,1,,,,,,,,1,2,,400000,2,,54,54,2
5105770,1,2,1,27,1,4112,41,1,91.050015397,27,2020,01,202001,70,4,48,5,2,4,5,3,2,1,,,,,,,,1,2,,1500000,2,,95,95,1
5105772,1,3,1,27,1,8551,85,1,81.013428141,27,2020,01,202001,70,4,30,1,2,5,2,9,2,1,,,,,,,,1,2,,800000,2,,12,18,1
5105776,1,4,1,27,1,8530,85,1,60.108687193,27,2020,01,202001,70,1,48,2,2,4,2,9,2,7,,,,,,,,1,2,,2000000,2,,13,13,1
5105779,1,2,1,27,1,8692,86,1,68.77424955,27,2020,01,202001,70,12,48,4,2,12,4,4,2,1,,,,,,,,1,2,,2500000,2,,19,19,1
5105782,1,1,1,27,1,.,,1,65.716097095,27,2020,01,202001,70,36,40,4,1,,,,,,,,,,,,,,,,830000,,,13,,2
5105783,1,1,1,27,1,.,,1,72.529534734,27,2020,01,202001,70,106,48,1,1,,,,,,,,,,,,,,,,877803,,,37,,2
5105786,1,6,1,27,1,4771,47,1,69.048928985,27,2020,01,202001,70,2,48,1,2,2,1,3,2,1,,,,,,,,1,2,,828116,2,,45,45,1
5105787,1,1,1,27,1,4723,47,1,88.933420398,27,2020,01,202001,70,40,40,1,2,48,1,4,2,1,,,,,,,,1,2,,900000,2,,45,45,2
5105789,1,1,1,27,1,8530,85,1,70.374964012,27,2020,01,202001,70,20,40,2,2,18,2,9,2,1,,,,,,,,1,2,,900000,2,,13,13,2
5105793,1,1,1,27,1,5619,56,1,58.976542952,27,2020,01,202001,70,36,40,1,2,240,1,7,2,1,,,,,,,,1,2,,830000,2,,57,53,2
5105799,1,2,1,27,1,4631,46,1,62.672902184,27,2020,01,202001,70,36,40,1,2,36,1,4,2,1,,,,,,,,1,2,,830000,2,,45,45,2
5105808,1,8,1,41,1,5611,56,1,81.289148549,41,2020,01,202001,70,24,40,1,2,24,1,5,2,2,,,,,,,,1,2,,828116,2,,53,53,2
5105814,1,2,1,41,1,4111,41,1,172.18741465,41,2020,01,202001,70,8,48,1,2,8,1,3,2,1,,,,,,,,1,2,,828000,2,,95,95,1
5105814,1,3,1,41,1,4781,47,1,172.18741465,41,2020,01,202001,70,4,48,1,2,4,4,1,2,1,,,,,,,,1,2,,828000,2,,95,45,1
5105815,1,1,1,41,1,8422,84,1,210.85542268,41,2020,01,202001,70,24,49,1,2,104,4,9,2,1,,,,,,,,1,2,,2000000,2,,12,12,2
5105816,1,2,1,41,1,4771,47,1,202.53144261,41,2020,01,202001,70,20,45,1,2,6,1,4,2,2,,,,,,,,1,2,,1200000,2,,45,45,2
5105817,1,1,1,44,1,8530,85,1,119.64940474,44,2020,01,202001,70,2,40,1,2,5,2,9,2,1,,,,,,,,1,2,,828900,2,,13,13,1
5105822,1,1,1,44,1,8610,86,1,50.736860297,44,2020,01,202001,70,96,48,1,2,96,4,9,2,1,,,,,,,,1,2,,2000000,2,,05,05,2
5105823,1,1,1,44,1,4921,49,1,40.067255065,44,2020,01,202001,70,96,48,1,2,48,4,1,2,2,,,,,,,,1,2,,870000,2,,97,98,2
5105827,1,2,1,44,1,4711,47,1,121.1714,44,2020,01,202001,70,16,48,1,2,96,1,3,2,2,,,,,,,,1,2,,800000,2,,33,45,2
5105830,1,2,1,44,1,4111,41,1,159.92747039,44,2020,01,202001,70,8,48,4,2,8,4,2,2,4,,,,,,,,1,2,,400000,2,,95,95,1
5105835,1,2,1,44,1,.,,1,122.74583706,44,2020,01,202001,70,8,48,1,1,,,,,,,,,,,,,,,,700000,,,45,,1
5105855,1,2,1,47,1,8610,86,1,155.16615959,47,2020,01,202001,70,99,48,1,2,500,1,9,2,1,,,,,,,,1,2,,1500000,2,,59,59,2
5105859,1,2,1,47,1,5914,59,1,155.46271193,47,2020,01,202001,70,30,24,1,2,30,1,9,2,1,,,,,,,,1,2,,828116,2,,39,33,2
5105867,1,1,1,50,1,8422,84,1,277.3263778,50,2020,01,202001,70,108,48,4,2,108,2,9,2,1,,,1,,,,,,2,,900000,3,,41,58,2
5105871,1,3,1,50,1,5611,56,1,257.81602465,50,2020,01,202001,70,108,50,1,2,108,1,4,2,1,,,,,,,,1,2,,900000,2,,53,53,2
5105873,1,1,1,50,1,8413,84,1,249.72609583,50,2020,01,202001,70,16,48,1,2,16,4,9,2,1,,,,,,,,1,2,,2500000,2,,18,18,2
5105882,1,3,1,50,1,4921,49,1,337.41364251,50,2020,01,202001,70,16,48,1,2,16,4,1,2,1,,,,,,,,1,2,,1000000,2,,98,98,2
5105884,1,2,1,50,1,4711,47,1,286.71157585,50,2020,01,202001,70,24,48,1,2,24,1,4,2,8,,,,,,,,1,2,,600000,2,,53,45,2
5105885,1,2,1,50,1,4761,47,1,261.97001459,50,2020,01,202001,70,52,48,1,2,52,1,2,2,1,,,,,,,,1,2,,828000,2,,45,45,2
5105886,1,5,1,50,1,0141,01,1,340.13370138,50,2020,01,202001,70,52,48,8,2,52,8,3,2,1,,,,,,,,1,2,,828000,2,,62,62,2
5105887,1,2,1,50,1,1051,10,1,281.41656953,50,2020,01,202001,70,12,48,1,2,36,1,9,2,4,,,,,,,,1,2,,1500000,2,,21,45,1
5105902,1,1,1,50,1,9329,93,1,334.2031143,50,2020,01,202001,70,21,48,1,2,21,3,2,2,1,,,,,,,,1,2,,828000,2,,95,58,2
5105902,1,2,1,50,1,5611,56,1,334.2031143,50,2020,01,202001,70,16,48,1,2,24,1,2,2,1,,,,,,,,1,2,,500000,2,,53,53,2
5105902,1,3,1,50,1,8422,84,1,334.2031143,50,2020,01,202001,70,8,48,1,2,8,2,9,2,4,,,,,,,,1,2,,828000,2,,39,58,1
5105902,1,4,1,50,1,4330,43,1,334.2031143,50,2020,01,202001,70,4,48,1,2,4,1,2,2,1,,,,,,,,1,1,500000,828000,2,,58,95,1
5105906,1,3,1,50,1,5224,52,1,257.81602465,50,2020,01,202001,70,52,48,1,2,4,4,1,2,3,,,,,,,,1,2,,828000,2,,45,97,2
5105913,1,2,1,52,1,4111,41,1,202.37046499,52,2020,01,202001,70,2,44,1,2,2,1,2,2,1,,,,,,,,1,1,310000,900000,2,,95,95,1
5105917,1,2,1,52,1,8512,85,1,231.9137974,52,2020,01,202001,70,4,20,1,2,5,1,5,2,1,,,,,,,,1,2,,828116,2,,13,13,1
5105920,1,3,1,52,1,4782,47,1,233.66335401,52,2020,01,202001,70,12,40,1,2,156,4,2,2,1,,,,,,,,1,2,,828116,2,,53,45,1
5105922,1,2,1,52,1,8413,84,1,180.10630836,52,2020,01,202001,70,1,40,4,2,1,4,9,2,3,,,1,,,,,,1,1800000,1800000,2,,30,30,1
5105927,1,3,1,52,1,4724,47,1,139.61962936,52,2020,01,202001,70,4,48,1,2,48,1,2,2,4,,,,,,,,1,2,,800000,2,,45,45,1
5105929,1,2,1,52,1,8890,88,1,216.16799713,52,2020,01,202001,70,2,40,1,2,5,1,9,2,1,,,,,,,,1,2,,900000,2,,13,13,1
5105935,1,1,1,52,1,8544,85,1,223.26227512,52,2020,01,202001,70,4,40,2,2,4,4,9,2,1,,,,,,,,1,1,1450000,1500000,2,,13,13,1
5105938,1,2,1,52,1,7310,73,1,250.03778571,52,2020,01,202001,70,8,48,1,2,8,1,3,2,1,,,,,,,,1,2,,1000000,2,,16,16,1
5105942,1,3,1,52,1,4542,45,1,252.99594223,52,2020,01,202001,70,8,48,1,2,8,1,2,2,8,,,,,,,,1,2,,500000,2,,84,84,1
5105944,1,1,1,52,1,1811,18,1,203.73737458,52,2020,01,202001,70,2,48,1,2,2,1,3,2,1,,,,,,,,1,1,500000,800000,2,,95,92,1
5105955,1,1,1,54,1,8292,82,1,489.81089037,54,2020,01,202001,70,1,60,4,2,1,4,1,2,1,,,,,,,,1,1,450000,800000,2,,97,97,1
5105959,1,2,1,54,1,9602,96,1,392.96794823,54,2020,01,202001,70,4,48,4,2,32,4,1,2,1,,,,,,,,1,2,,600000,2,,57,57,1
5105961,1,1,1,54,1,8530,85,1,467.32916655,54,2020,01,202001,70,6,40,1,2,52,1,9,2,1,,,,,,,,1,2,,1500000,2,,13,13,1
5105963,1,2,1,54,1,4719,47,1,523.32921893,54,2020,01,202001,70,3,48,4,2,3,4,1,2,8,,,,,,,,1,1,140000,800000,2,,55,45,1
5105964,1,1,1,54,1,1522,15,1,486.95950965,54,2020,01,202001,70,4,60,4,2,4,4,1,2,8,,,,,,,,1,1,200000,800000,2,,80,80,1
5105969,1,1,1,54,1,4111,41,1,510.65639664,54,2020,01,202001,70,3,48,4,2,3,4,1,2,1,,,,,,,,1,1,1000000,800000,2,,95,95,1
5105972,1,1,1,54,1,4111,41,1,511.8106582,54,2020,01,202001,70,2,48,4,2,2,4,1,2,2,,,,,,,,1,1,1500000,1200000,2,,95,95,1
5105972,1,3,1,54,1,.,,1,511.8106582,54,2020,01,202001,70,8,48,4,1,,,,,,,,,,,,,,,,828116,,,03,,1
5105978,1,2,1,54,1,1522,15,1,510.89423694,54,2020,01,202001,70,3,48,4,2,4,4,1,2,1,,,,,,,,1,1,500000,800000,2,,98,99,1
5105984,1,2,1,54,1,1522,15,1,403.84040685,54,2020,01,202001,70,5,48,4,2,6,4,1,2,1,,,,,,,,1,2,,800000,2,,80,80,1
5105985,1,2,1,54,1,1513,15,1,492.44534637,54,2020,01,202001,70,4,40,1,2,6,1,2,2,7,,,,,,,,1,2,,850000,2,,13,21,1
5105987,1,1,1,54,1,4112,41,1,430.20256283,54,2020,01,202001,70,8,48,4,2,8,4,1,2,1,,,,,,,,1,2,,828000,2,,95,95,1
5105987,1,2,1,54,1,8121,81,1,430.20256283,54,2020,01,202001,70,1,48,4,2,1,4,1,2,1,,,,,,,,1,1,70000,828000,2,,55,55,1
5105987,1,3,1,54,1,8415,84,1,430.20256283,54,2020,01,202001,70,12,48,1,2,12,2,9,2,1,,,,,,,,1,2,,600000,2,,02,39,1
5105987,2,1,2,54,1,4723,47,1,430.20256283,54,2020,01,202001,70,12,60,4,2,12,1,6,2,1,,,,,,,,1,2,,828000,2,,41,45,1
5105989,1,4,1,54,1,8621,86,1,585.8352183,54,2020,01,202001,70,2,48,1,2,62,1,9,2,1,,,,,,,,1,2,,600000,2,,59,59,1
5105991,1,2,1,54,1,4772,47,1,513.2006644,54,2020,01,202001,70,5,48,1,2,2,4,1,2,1,,,,,,,,1,1,150000,800000,2,,45,41,1
5105996,1,3,1,54,1,4663,46,1,585.8352183,54,2020,01,202001,70,12,48,1,2,12,1,6,2,1,,,,,,,,1,2,,828116,2,,45,45,1
5106003,1,1,1,63,1,4220,42,1,123.13309046,63,2020,01,202001,70,2,54,1,2,2,1,5,2,1,,,,,,,,1,1,500000,828000,2,,87,87,1
5106012,1,2,1,63,1,5613,56,1,74.919983065,63,2020,01,202001,70,4,30,1,2,76,1,4,2,1,,,,,,,,1,2,,877103,2,,53,53,1
5106012,1,5,1,63,1,3110,31,1,74.919983065,63,2020,01,202001,70,6,60,1,2,2,4,1,2,1,,,,,,,,1,1,600000,800000,2,,85,95,1
5106013,1,7,1,63,1,4111,41,1,277.35203939,63,2020,01,202001,70,6,60,1,2,6,1,4,2,1,,,,,,,,1,2,,828116,2,,95,95,1
5106016,1,1,1,63,1,4520,45,1,123.13309046,63,2020,01,202001,70,16,48,1,2,16,4,1,2,8,,,,,,,,1,2,,828116,2,,84,84,2
5106020,1,3,1,63,1,5511,55,1,89.974735795,63,2020,01,202001,70,3,50,1,2,2,1,3,2,8,,,,,,,,1,1,300000,860000,2,,53,55,1
5106020,1,4,1,63,1,5611,56,1,89.974735795,63,2020,01,202001,70,8,45,4,2,3,4,1,2,8,,,,,,,,1,1,300000,700000,2,,41,53,1
5106029,1,1,1,63,1,0162,01,1,74.919983065,63,2020,01,202001,70,250,60,1,2,12,4,1,2,1,,1,,,,,,,2,,980000,1,2,58,62,2
5106032,1,1,1,63,1,4111,41,1,74.919983065,63,2020,01,202001,70,44,60,1,2,20,1,3,2,8,,,,,,,,1,2,,828116,2,,58,95,2
5106039,1,3,1,63,1,8412,84,1,196.47371451,63,2020,01,202001,70,1,40,1,2,4,4,9,2,1,,,,,,,,1,1,2000000,2000000,2,,12,12,1
5106044,1,3,1,63,1,4711,47,1,132.21912201,63,2020,01,202001,70,5,50,1,2,104,1,3,2,2,,,,,,,,1,2,,900000,2,,45,97,1
5106046,1,1,1,63,1,8530,85,1,146.2723725,63,2020,01,202001,70,20,50,1,2,20,1,9,2,7,,,,,,,,1,2,,877803,2,,62,58,2
5106049,1,1,1,63,1,4921,49,1,169.59559758,63,2020,01,202001,70,24,54,1,2,4,4,1,2,2,,,,,,,,1,1,400000,900000,2,,95,98,2
5106049,1,2,1,63,1,8121,81,1,169.59559758,63,2020,01,202001,70,3,48,3,2,3,4,1,2,2,,,,,,,,1,1,250000,800000,2,,55,55,1
5106050,1,1,1,63,1,4111,41,1,162.051427,63,2020,01,202001,70,8,54,1,2,8,4,1,2,1,,,,,,,,1,2,,980000,2,,95,95,1
5106050,1,2,1,63,1,5611,56,1,162.051427,63,2020,01,202001,70,3,48,4,2,3,4,1,2,1,,,,,,,,1,1,600000,800000,2,,54,53,1
5106051,1,2,1,63,1,4773,47,1,74.919983065,63,2020,01,202001,70,3,48,1,2,5,1,4,2,2,,1,,,,,,,2,,828000,1,2,34,34,1
5106052,1,2,1,63,1,8621,86,1,140.71236371,63,2020,01,202001,70,12,48,1,2,12,1,9,2,8,,,,,,,,1,2,,1500000,2,,06,06,1
5106054,1,1,1,63,1,6120,61,1,153.43702143,63,2020,01,202001,70,1,48,1,2,3,1,9,2,1,,1,,,,,,,1,6000000,1600000,1,2,03,03,1
5106054,1,3,1,63,1,4111,41,1,153.43702143,63,2020,01,202001,70,52,40,1,2,24,4,1,2,2,,,,,,,,1,2,,900000,2,,44,95,2
5106054,1,4,1,63,1,4771,47,1,153.43702143,63,2020,01,202001,70,76,48,2,2,52,4,1,2,2,,,,,,,,1,2,,1400000,2,,13,44,2
5106055,1,1,1,63,1,4631,46,1,181.29372508,63,2020,01,202001,70,4,50,4,2,2,4,1,2,7,,,,,,,,1,1,120000,850000,2,,98,39,1
5106059,1,5,1,63,1,5611,56,1,266.22559192,63,2020,01,202001,70,104,48,1,2,104,1,4,2,1,,,,,,,,1,2,,828116,2,,53,53,2
5106065,1,1,1,63,1,6190,61,1,227.74692233,63,2020,01,202001,70,32,32,1,2,32,1,9,2,8,,,,,,,,1,2,,828116,2,,39,39,2
5106071,1,1,1,63,1,.,,1,170.14387853,63,2020,01,202001,70,52,48,1,1,,,,,,,,,,,,,,,,877803,,,39,,2
5106079,1,1,1,63,1,8412,84,1,154.40629829,63,2020,01,202001,70,1,48,4,2,1,4,9,2,1,,1,,,,,,,1,4350000,1200000,1,1,03,03,1
5106080,1,1,1,63,1,9529,95,1,148.41988854,63,2020,01,202001,70,2,48,4,2,2,4,1,2,8,,,,,,,,1,1,30000,300000,2,,79,79,1
