directorio,secuencia_p,orden,clase,FEX,Ide9,Ide10,Ide11,Ide12,Ide13,mi1__1,mi1__2,mi1__3,mi1__4,mi1__5,mi1__6,mi1__7,mi1__8,mi1__9,mi1_1,mi2,mi3,mi4__1,mi4__2,mi4__3,mi4__4,mi4__5,mi4__6,mi4__7,mi4_1,mi5,mi6,mi7,mi8,mi9,mi10__1,mi10__2,mi10__3,mi10__4,mi10__5,mi10__6,mi11,mi12,mi13__1,mi13__2,mi13__3,mi13__4,mi13__5,mi13__6,mi13__7,mi13_1,mi14,mi14_1,mi15,mi16__1,mi16__2,mi16__3,mi16__4,mi16__5,mi16__6,mi16__7,mi16__8,mi16_1,mi17__1,mi17__2,mi17__3,mi17__4,mi17__5,mi17__6,mi17__7,mi18__1,mi18__2,mi18__3,mi18__4,mi18__5,mi19,mi20__1,mi20__2,mi20__3,mi20__4,mi20__5,mi20__6,mi20__7,mi20__8,mi20__9,mi20__10,mi20__11,mi20__12,mi20_1,mi21,mi22,mi23,mi24,mi24_1,mi25,mi26,ml1,ml1_1,ml2,ml3,ml3_1,ml4,ml5,ml5_1,ml6,ml7,ml7_1,ml8,ml8_1,ml9,ml10__1,ml10__2,ml10__3,ml10__4,ml10__5,ml10__6,ml10__7,ml10__8,ml10__9,ml10__10,ml10_1,ml11,ml12__1,ml12__2,ml12__3,ml12__4,ml12__5,ml12__6,ml12__7,ml12__8,ml12__9,ml12__10,ml12__11,ml12_1,ml13,ml14,ml15,ml16__1,ml16__2,ml16__3,ml16__4,ml16__5,ml16__6,ml17,ml18,ml19,ml20,ml20_1,ml21,ml21_1,ir1__1,ir1__2,ir1__3,ir1__4,ir1__5,ir1__6,ir1__7,ir1__8,ir1__9,ir1__10,ir1__11,ir1__12,ir1__13,ir1__14,ir1_1,ir2__1,ir2__2,ir2__3,ir2__4,ir2__5,ir2__6,ir2__7,ir2__8,ir2__9,ir2__10,ir3,ir3_1,ir4,ir5,ir5_1,ir6,ir6_1,ir7,ir8,ir8_1,ir9,ir9_1,vi1__1,vi1__2,vi1__3,vi1__4,vi1__5,vi1__6,vi1__7,vi1__8,vi1__9,vi1__10,vi1__11,vi2__1,vi2__2,vi2__3,vi2__4,vi2__5,vi2__6,vi3,pm1__1,pm1__2,pm1__3,pm1__4,pm1__5,pm1__6,pm1__7,pm1_1,pm2__1,pm2__2,pm2__3,pm2__4,pm2__5,pm2__6,pm2__7,pm2_1,pm3__1,pm3__2,pm3__3,pm3__4,pm3__5,pm3__6,pm3_1,pm4__1,pm4__2,pm4__3,pm4__4,pm4__5,pm4__6,pm4__7,pm4_1,pm5,pm6,pm7__1,pm7__2,pm7__3,pm7__4,pm7__5,pm7__6,pm7__7,pm7_1,pm8,pm9__1,pm9__2,pm9__3,pm9__4,pm9__5,pm9__6,pm9_1,pm10,mi18_1,ml13_1,ml16__7,mi17__8
1001943,1,1,1,187.8390280117862,1,43,2,1,,0,1,0,0,0,0,0,0,0,,16jul2019,16jul2019,1,0,0,0,0,0,0,,3,3,5,4,2,,,,,,,1,2,,,,,,,,,2,,2,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,2,1,,,2,,3,,,,,2,1,,5,1,,1,,2,,,,,,,,,,,,2,,,,,,,,,,,,,4,2,1,1,0,0,0,0,0,2,,,1,,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,10,,1,4,,5,,2,,,,,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,0,1
1002341,1,1,1,155.8825954929516,2,55,4,3,,0,0,0,0,1,0,0,0,0,,17dec2019,17dec2019,1,0,0,0,0,0,0,,3,3,5,3,2,,,,,,,1,2,,,,,,,,,1,2,2,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,,1,2,1,,,2,,2,,,,,2,1,,5,1,,5,,2,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,,6,2,1,1,0,1,0,0,0,2,,,5,,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,10,,1,4,,5,,2,,,,,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,0,0,0,0,0,0,1,,0,0,0,0,0,0,1,,,,,,,,,0,0,0,0,0,1,0,,2,3,,,,,,,,0,,,,,,,,0,,,,0,1
1002341,1,2,1,420.680632381188,1,17,0,3,,0,1,0,0,0,0,0,0,0,,08sep2020,08sep2020,1,0,0,1,0,0,0,,1,3,5,7,1,0,1,0,0,0,0,1,2,,,,,,,,,2,,2,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,,1,2,1,,,2,,3,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,2,,,1,,3,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,10,,2,,,,,2,,,,,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,1
1002341,1,3,1,420.680632381188,1,15,0,3,,0,1,0,0,0,0,0,0,0,,16sep2020,16sep2020,1,0,0,0,0,0,0,,1,3,5,7,1,0,1,0,0,0,0,1,2,,,,,,,,,2,,2,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,1,0,0,0,0,1,0,0,0,0,0,0,0,,1,2,1,,,2,,3,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,2,,,1,,3,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,10,,2,,,,,2,,,,,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,0,0,0,0,0,0,1,,0,0,0,0,0,0,1,,,,,,,,,0,0,0,0,0,1,0,,,,,,,,,,,0,,,,,,,,0,,,,,1
1002959,1,1,1,966.4338023937731,1,35,3,3,,0,0,0,1,1,0,0,0,0,,11aug2018,06oct2020,1,0,0,0,1,0,0,,3,3,3,3,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,,2,,2,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,2,,,,,,,,,,,,,,,2,1,,,2,,2,,,,,2,1,,5,9,ES INDEPENDIENTE,4,,2,,,,,,,,,,,,2,,,,,,,,,,,,,5,2,1,1,0,1,0,0,0,2,,,6,,1,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,0,0,0,0,0,0,0,0,0,4,,1,3,,5,,2,,,,,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,0,0,0,0,0,0,1,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,0,1
1002959,1,2,1,6538.95676720023,2,27,3,3,,0,1,0,0,1,0,0,0,0,,23dec2020,23dec2020,1,0,1,0,0,0,0,,3,3,2,4,1,0,1,0,0,0,0,1,2,,,,,,,,,1,2,2,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,2,,,,,,,,,,,,,,,2,1,,,1,,3,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,0,0,0,2,,,5,,4,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,ESTABA EN VENEZUELA,0,0,0,0,0,0,0,0,0,1,6,,3,,,,,2,,,,,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,0,0,0,0,0,0,1,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,,,0,1
1002962,1,1,1,966.4338023937731,1,30,1,3,,0,1,0,1,1,0,0,0,0,,03apr2019,03apr2019,1,0,0,0,0,0,0,,3,3,3,3,1,0,1,0,0,0,0,2,2,,,,,,,,,2,,2,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,,1,2,1,,,2,,3,,,,,2,1,,1,1,,4,,2,,,,,,,,,,,,1,0,1,0,0,1,0,0,0,0,0,0,,6,2,1,1,0,0,0,0,0,2,,,6,,1,,0,0,1,0,0,0,1,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,10,,1,3,,5,,2,,,,,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,0,0,1,0,0,0,0,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,0,1
1002962,1,2,1,6538.95676720023,2,24,1,3,,0,0,0,1,1,1,0,0,0,,24jan2020,24jan2020,1,0,0,1,0,1,0,,1,3,2,1,1,0,1,0,0,0,0,1,2,,,,,,,,,2,,2,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,1,1,0,0,1,0,1,0,0,0,1,0,0,,1,2,1,,,2,,3,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,1,0,0,0,2,,,4,,1,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,10,,2,,,,,2,,,,,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,0,0,1,0,0,0,0,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,2,1,1,0,0,0,0,0,0,0,2,,,,,,,0,2,,,0,1
1002974,1,1,1,966.4338023937731,1,21,0,4,,0,1,1,0,0,0,0,0,0,,02aug2019,02aug2019,1,0,0,0,1,0,0,,2,3,5,7,1,0,0,0,1,0,0,2,2,,,,,,,,,1,2,2,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,1,1,0,0,0,0,1,0,0,0,0,0,0,,1,2,1,,,2,,3,,,,,2,1,,5,1,,1,,2,,,,,,,,,,,,2,,,,,,,,,,,,,4,2,2,,,,,,,2,,,1,,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,10,,1,4,,5,,1,4,,5,,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,0,0,1,0,0,0,0,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,1
1002974,1,2,1,6538.95676720023,2,21,0,4,,0,0,1,0,0,1,0,0,0,,05aug2019,05aug2019,1,0,0,0,0,0,0,,2,3,6,7,1,0,1,0,0,0,0,1,2,,,,,,,,,2,,2,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,,1,2,1,,,2,,3,,,,,2,1,,2,1,,1,,2,,,,,,,,,,,,2,,,,,,,,,,,,,6,2,1,1,0,1,0,0,0,2,,,6,,3,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,0,0,0,0,0,0,0,0,0,10,,2,,,,,1,4,,5,,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,0,0,1,0,0,0,0,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,2,1,1,0,0,0,0,0,0,0,2,,,,,,,0,2,,,0,1
1003283,1,1,1,262.9485093341916,1,60,5,7,,0,0,0,0,1,1,0,0,0,,01dec2019,01dec2019,0,0,0,0,0,0,1,LLEGO DE VISITA Y NO PUDO SALIR DE COLOM,1,3,5,1,1,0,1,0,0,0,0,1,2,,,,,,,,,1,2,2,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,2,,,,,,,,,,,,,,,1,1,,,2,,4,,2,6,P,2,1,,4,1,,5,,2,,,,,,,,,,,,2,,,,,,,,,,,,,6,2,1,1,0,0,0,0,0,2,,,2,,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,VECINOS LE AYUDARON,1,0,0,0,0,0,0,0,0,0,6,,2,,,,,1,4,,5,,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,0,0,0,0,0,0,1,,0,0,0,0,0,0,1,,,,,,,,,0,0,0,0,0,0,1,NO TIENE PAREJA,,,,,,,,,,0,,,,,,,,0,,,,0,1
1003283,1,2,1,270.3635618687981,2,42,1,6,,0,1,0,1,1,0,0,0,0,,28nov2019,28nov2019,0,0,0,0,0,0,1,"LLEGO DE VISITA, NO PUDO SALIR DEL PAIS",1,3,1,1,1,0,1,0,0,0,0,1,2,,,,,,,,,1,2,2,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,1,1,0,0,0,1,0,0,0,0,0,0,0,,1,1,1,,,2,,4,,2,2,,2,1,,5,3,,1,,2,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0,,6,2,1,1,0,0,0,0,0,2,,,2,,1,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,10,,2,,,,,2,,,,,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,0,0,0,0,0,0,1,,0,0,0,0,0,0,1,,,,,,,,,1,0,0,0,0,0,0,,2,3,,,,,,,,0,,,,,,,,0,,,,0,1
1003283,1,3,1,556.9933277039164,1,43,4,6,,0,0,0,1,0,0,0,0,0,,28nov2019,28nov2019,0,0,0,0,0,0,1,"LLEGO DE VISITA, NO PUDO SALIR POR LA PA",1,3,1,1,1,0,1,0,0,0,0,1,2,,,,,,,,,2,,2,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,,1,2,1,,,2,,3,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,0,0,0,0,2,,,2,,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,10,,2,,,,,2,,,,,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,0,0,0,0,0,0,1,,0,0,0,0,0,0,1,,,,,,,,,1,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,0,,,,0,1
1003286,1,1,1,270.3635618687981,2,37,2,3,,0,0,0,1,1,0,0,0,0,,13sep2018,13sep2018,1,0,0,0,0,0,0,,1,3,3,1,1,0,0,0,0,1,0,1,2,,,,,,,,,1,2,2,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,,,2,,3,,,,,2,1,,5,1,,8,,2,,,,,,,,,,,,2,,,,,,,,,,,,,6,2,2,,,,,,,2,,,7,FALTA DE DOCUMENTOS,4,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,0,0,0,0,0,0,0,0,0,10,,2,,,,,2,,,,,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,0,0,0,0,0,0,1,,0,0,0,0,0,0,1,,,,,,,,,1,0,0,0,0,0,0,,2,2,1,0,0,0,0,0,0,0,2,,,,,,,0,2,,,,1
1003288,1,1,1,270.3635618687981,2,30,7,7,,0,1,0,1,1,0,0,0,0,,15may2018,15may2018,1,0,0,0,0,0,0,,3,3,3,3,1,0,1,0,0,0,0,1,2,,,,,,,,,1,2,1,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,2,1,,,1,,5,,2,2,,2,1,,5,4,,1,,2,,,,,,,,,,,,2,,,,,,,,,,,,,6,2,1,0,0,0,1,0,0,1,1,1,,,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,6,,2,,,,,2,,,,,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,2,3,,,,,,,,0,,,,,,,,0,,,,0,0
